question id;question;question_variant;organization_id;category
q051;How many models are there in the organization? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);What is the total number of models in the organization? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q052;What language do the models in the organization use? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);In what language are the organization's models written? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q053;Which organization has the model 'Reisebro (Kopie)'?;What organization includes the model 'Reisebro (Kopiee)'?;4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q054;List all organizations that have the same amount of models this organization. (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);Enumerate all organizations with the same number of models as this organization. (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q055;What is the time difference between the earliest and the latest model's creation date of this organization? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);How much time elapsed between the first and last model creation dates in this organization? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q056;Which organization has the most models?;What organization contains the greatest number of models?;-;general, generic
q057;Which organization has the model with the earliest creation date?;What organization includes the model with the earliest creation date?;-;general, generic
q058;List all organizations between 5 and 10 models.;Enumerate all organizations that have between 5 and 10 models.;-;general, generic
q059;List all organizations that have models about restaurants.;Which organizations contain models related to restaurants?;-;general, domain-specific
q060;Which organizations have models about universities?;What organizations contain models related to universities?;-;general, domain-specific
q061;Which models in the organization have tasks where travel agencies are participants? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);What models in the organization include travel agencies as task participants? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, domain-specific
q062;Which models in the organization include parallel execution? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);What models in the organization contain parallel execution? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q063;List all occurences of airlines as participants of tasks in the organization! (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);Enumerate every instance where airlines participate in tasks within the organization! (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, domain-specific
q064;Based on the models of this organization, what could be the profile of the organization? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);Considering the organization's models, what profile could the organization have? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e59;specific organization, generic
q065;In which model of the organization does the customers have the least amount of tasks they participate in? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);Which of the organization's models has the fewest tasks with customer participation? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e60;specific organization, generic
q066;Based on the models of this organization, is there a sole profile of the organization? (Organization ID: 38b17e822a5e4307ae051694293e4d0f);Can a single organizational profile be determined from the organization's models? (Organization ID: 38b17e822a5e4307ae051694293e4d0f);38b17e822a5e4307ae051694293e4d0f;specific organization, domain-specific
q067;Which models of the organization have tasks about making offers?  (Organization ID: 38b17e822a5e4307ae051694293e4d0f);What models in the organization contain tasks related to creating offers?  (Organization ID: 38b17e822a5e4307ae051694293e4d0f);38b17e822a5e4307ae051694293e4d0f;specific organization, domain-specific
q068;Which models of the organization include financial tasks?  (Organization ID: 38b17e822a5e4307ae051694293e4d0f);What models in the organization involve financial tasks?  (Organization ID: 38b17e822a5e4307ae051694293e4d0f);38b17e822a5e4307ae051694293e4d0f;specific organization, domain-specific
q069;List the organization's models about organ transportation. (Organization ID: 38b17e822a5e4307ae051694293e4d0f);Enumerate the organization's models related to organ transportation. (Organization ID: 38b17e822a5e4307ae051694293e4d0f);38b17e822a5e4307ae051694293e4d0f;specific organization, domain-specific
q070;What is the language of the organization's models? (Organization ID: 38b17e822a5e4307ae051694293e4d0f);In what language are the organization's models written? (Organization ID: 38b17e822a5e4307ae051694293e4d0f);38b17e822a5e4307ae051694293e4d0f;specific organization, generic
q071;In which cases do we need to involve a Service-Techniker for solving a problem? (Organization ID: 1fcd4973039d4c648b9c4535154699d4);When is it necessary to involve a Service-Techniker to resolve a problem? (Organization ID: 1fcd4973039d4c648b9c4535154699d4);1fcd4973039d4c648b9c4535154699d4;specific organization, domain-specific
