question id;question;original_model_id;name;organization_id;category
q001;How many tasks are included in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;general
q002;Is there any task that is not reachable from the initial node in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;general
q003;Which model contains a 'Data analysis' task with participants 'The Client EHQ' and 'The Client ELC'?;2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;model-specific
q004;In this model which task comes between 'Process provisioning' and 'Operations provisioning'? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;model-specific
q005;In this model which tasks have relations to multiple messages ? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;general
q006;Is there any task that is not reachable from the initial node in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;general
q007;Is there any parallelism in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;general
q008;Is there any cyclic behaviour in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;general
q009;Which model contains the task 'Wünsche zusenden'? List the task's participants!;1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;model-specific
q010;Do you have any suggestions to improve this model?  (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;model-specific
q011;Is  there an exclusive gateway in this model? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;general
q012;In this model, is the 'Opis resenja problema' task always reachable from the start node? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;model-specific
