question id;question;question_variant;original_model_id;name;organization_id;category
q001;How many tasks are included in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);What is the total number of tasks in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;general
q002;Is there any task that is not reachable from the initial node in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);Are there any tasks unreachable from the start node in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;general
q003;Which model contains a 'Data analysis' task with participants 'The Client EHQ' and 'The Client ELC'?;What model includes a 'Data enalysis' task with participants 'The Cliemnt EHQ' and 'The lient ELC'?;2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;model-specific
q004;In this model which task comes between 'Process provisioning' and 'Operations provisioning'? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);Within this model what task lies between 'Process provisionig' and 'Oeprations provisioning'? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;model-specific
q005;In this model which tasks have relations to multiple messages ? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);Within this model, which tasks are associated with more than one message? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;general
q006;Is there any task that is not reachable from the initial node in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);Are there any tasks unreachable from the start node in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;general
q007;Is there any parallelism in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);Does this model contain any parallel execution? (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;general
q008;Is there any cyclic behaviour in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);Does this model exhibit any cyclic behavior? (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;general
q009;Which model contains the task 'Wünsche zusenden'? List the task's participants!;What model includes the task 'Wüncshe zusenden'? List the task's participants!;1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;model-specific
q010;Do you have any suggestions to improve this model?  (Model ID: 1ad939eef40c461dafae27f75a0586d3);Can you suggest any improvements for this model?  (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;model-specific
q011;Is  there an exclusive gateway in this model? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);Is  there an exclusive gateway in the model? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;general
q012;In this model, is the 'Opis resenja problema' task always reachable from the start node? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);For this model, is the 'Opis resenja oproblema' task always reachable from the start node? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;model-specific
q013;List all messages from this model! (Model ID: 2aa476e4bbdf451083ec316570f7a3be);Show me every message found in this model! (Model ID: 2aa476e4bbdf451083ec316570f7a3be);2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;general
q014;Is there any parallelism in this model? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);Does this model contain any parallel execution? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;general
q015;Which model has a task named 'Trenutak dobijanjadetaljnog opisa problema'?;What model contains a task called 'Tremnutak dobijanjadetaljnog opisa problema'?;2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;model-specific
q016;In this model, can we always execute the task 'Lasku' after task 'Merkitse varaus'? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);For this model, is it always possible to perform the task 'Laskku' after task 'Merkitse varus'? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);6e8e145a4f51488c81c0c89e863a27fa;Koreografiakaavio;23c59f87cf66428d8ec4fca0f936f1f7;model-specific
q017;Which model has a message called 'Asiakas tilaa ruoan'?;What model contains a message named 'Asiakas tiaa ruoan'?;6e8e145a4f51488c81c0c89e863a27fa;Koreografiakaavio;23c59f87cf66428d8ec4fca0f936f1f7;model-specific
q018;How many end events are in this model? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);What is the number of end events in this model? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);6e8e145a4f51488c81c0c89e863a27fa;Koreografiakaavio;23c59f87cf66428d8ec4fca0f936f1f7;general
