q001	How many tasks are included in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab)
q002	Is there any task that is not reachable from the initial node in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab)
q003	Which model contains a 'Data analysis' task with participants 'The Client EHQ' and 'The Client ELC'?
q004	In this model which task comes between 'Process provisioning' and 'Operations provisioning'? (Model ID: 2f572d235e784b838fa0d7d2a56748ab)
q005	In this model which tasks have relations to multiple messages ? (Model ID: 2f572d235e784b838fa0d7d2a56748ab)
q006	Is there any task that is not reachable from the initial node in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3)
q007	Is there any parallelism in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3)
q008	Is there any cyclic behaviour in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3)
q009	Which model contains the task 'Wünsche zusenden'? List the task's participants!
q010	Do you have any suggestions to improve this model?  (Model ID: 1ad939eef40c461dafae27f75a0586d3)
q011	Is  there an exclusive gateway in this model? (Model ID: 2aa476e4bbdf451083ec316570f7a3be)
q012	In this model, is the 'Opis resenja problema' task always reachable from the start node? (Model ID: 2aa476e4bbdf451083ec316570f7a3be)
q013	List all messages from this model! (Model ID: 2aa476e4bbdf451083ec316570f7a3be)
q014	Is there any parallelism in this model? (Model ID: 2aa476e4bbdf451083ec316570f7a3be)
q015	Which model has a task named 'Trenutak dobijanjadetaljnog opisa problema'?
q016	In this model, can we always execute the task 'Lasku' after task 'Merkitse varaus'? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa)
q017	Which model has a message called 'Asiakas tilaa ruoan'?
q019	In this model, can we always execute the task 'Ruokailu'? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa)
q020	How many sequence flows are in this model? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa)
q021	Is there any cyclic behaviour in this model? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae)
q022	In this model, will the choreography always reach an end node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae)
q023	Which model has a task named 'Bezahlvorgang'?
q024	In this model, is the 'Beratung' node always reachable from 'Kaufwunsch' node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae)
q025	In this  model, is the 'Bezahlvorgang' node always reachable from 'Beratung' node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae)
q027	What messages are related to the 'Get client to add therelevant cost centre' node in this model? (Model ID: 2d887704e5324e6bb2126cef061e50e9)
q028	Is there any parallelism in this model? (Model ID: 2d887704e5324e6bb2126cef061e50e9)
q029	In this model, how many tasks are between 'Receive invoice' and 'Check invoice completeness'? (Model ID: 2d887704e5324e6bb2126cef061e50e9)
q031	In this model, will the choreography always reach an end node?  (Model ID: 4ccc3fd711004f519782ac92e58f6ddd)
q032	Do you have any suggestions to improve this model? (Model ID: 4ccc3fd711004f519782ac92e58f6ddd)
q033	Is the 'Informieren über Zustimmung' task always reachable in this model? (Model ID: 4ccc3fd711004f519782ac92e58f6ddd)
q034	Which model has a task called 'Informieren über Zustimmung'?
q035	List all tasks of this model! (Model ID: 4ccc3fd711004f519782ac92e58f6ddd)
q036	In this model, which tasks have 'Customer' as a participant? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188)
