q001	What is the total number of tasks in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab)
q002	Are there any tasks unreachable from the start node in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab)
q003	What model includes a 'Data enalysis' task with participants 'The Cliemnt EHQ' and 'The lient ELC'?
q004	Within this model what task lies between 'Process provisionig' and 'Oeprations provisioning'? (Model ID: 2f572d235e784b838fa0d7d2a56748ab)
q005	Within this model, which tasks are associated with more than one message? (Model ID: 2f572d235e784b838fa0d7d2a56748ab)
q006	Are there any tasks unreachable from the start node in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3)
q007	Does this model contain any parallel execution? (Model ID: 1ad939eef40c461dafae27f75a0586d3)
q008	Does this model exhibit any cyclic behavior? (Model ID: 1ad939eef40c461dafae27f75a0586d3)
q009	What model includes the task 'Wüncshe zusenden'? List the task's participants!
q010	Can you suggest any improvements for this model?  (Model ID: 1ad939eef40c461dafae27f75a0586d3)
q011	Is  there an exclusive gateway in the model? (Model ID: 2aa476e4bbdf451083ec316570f7a3be)
q012	For this model, is the 'Opis resenja oproblema' task always reachable from the start node? (Model ID: 2aa476e4bbdf451083ec316570f7a3be)
q013	Show me every message found in this model! (Model ID: 2aa476e4bbdf451083ec316570f7a3be)
q014	Does this model contain any parallel execution? (Model ID: 2aa476e4bbdf451083ec316570f7a3be)
q015	What model contains a task called 'Tremnutak dobijanjadetaljnog opisa problema'?
q016	For this model, is it always possible to perform the task 'Laskku' after task 'Merkitse varus'? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa)
q017	What model contains a message named 'Asiakas tiaa ruoan'?
q018	For this model, is it always possible to perform the task 'Ruokkailu'? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa)
q019	What is the count of sequence flows in this model? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa)
q020	Does this model exhibit any cyclic behavior? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae)
q021	For this model, is it guaranteed that the choreography terminates at an end node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae)
q022	What model contains a task called 'Bezahlbvorgang'?
q023	For this model, is the 'Beratiung' node always reachable from 'Kaufwunssch' node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae)
q024	In this  model, is the 'Bzeahlvorgang' node always reachable from 'Beretung' node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae)
q025	Which messages are connected to the 'Get client to add theerlevant cost centre' node in this model? (Model ID: 2d887704e5324e6bb2126cef061e50e9)
q026	Does this model contain any parallel execution? (Model ID: 2d887704e5324e6bb2126cef061e50e9)
q027	For this model, how many tasks lie between 'Receive invocie' and 'Check inoice completeness'? (Model ID: 2d887704e5324e6bb2126cef061e50e9)
q028	For this model, is it guaranteed that the choreography terminates at an end node?  (Model ID: 4ccc3fd711004f519782ac92e58f6ddd)
q029	Can you suggest any improvements for this model? (Model ID: 4ccc3fd711004f519782ac92e58f6ddd)
q030	Is the 'Infotrmieren über Zustimmung' task always accessible in this model? (Model ID: 4ccc3fd711004f519782ac92e58f6ddd)
q031	What model includes a task named 'Informieren über Zusitmmung'?
q032	Enumerate all the tasks in this model! (Model ID: 4ccc3fd711004f519782ac92e58f6ddd)
q033	In this model, what tasks include 'Custonmer' as a participant? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188)
q034	For this model, is it possible that the 'Record time andincident report inservice for' task happen before the 'End hte call with agood note' task? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188)
q035	What model includes a task 'Ecxplain  service Technician about problem'?
q036	Within this model, are there tasks that cannot be reached from the start node? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188)
q037	Within this model, what tasks are associated with exactly two messages? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188)
q038	Does this model contain any parallel execution? (Model ID: 0b4394edaa09437d93cc54c78c0180cb)
q039	For this model, is task 'M5' always reachable from the start node? (Model ID: 0b4394edaa09437d93cc54c78c0180cb)
q040	Enumerate every participant in this model! (Model ID: 0b4394edaa09437d93cc54c78c0180cb)
q041	Can every task be executed during process operation in this model? (Model ID: 0b4394edaa09437d93cc54c78c0180cb)
q042	Is the task 'M5' always reachable from task 'M1' in this model? (Model ID: 0b4394edaa09437d93cc54c78c0180cb)
q043	For this model, how many possible execution paths does the choreography have? (Model ID: fbb0adafe6924f58ac902063a36646fe)
q044	For this model, is it always possible to perform the task 'Absaage senden'? (Model ID: fbb0adafe6924f58ac902063a36646fe)
q045	For this model, enumerate all tasks with 'Hchschule' and 'Biwerber' as participants! (Model ID: fbb0adafe6924f58ac902063a36646fe)
q046	What is the count of sequence flows in this model? (Model ID: fbb0adafe6924f58ac902063a36646fe)
q047	What is the total number of tasks present in this model? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6)
q048	Are there any tasks unreachable from the start node in this model? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6)
q049	Does this model contain any parallel gateways? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6)
q050	In which model can we find a task named 'Anzeigeformualr ausfüllen'?
q051	Is the task 'Anfrage fü rFormular' always reachable from the initial node in this model? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6)
q052	Does this model exhibit any cyclic behavior? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc)
q053	Will every execution path in this model eventually terminate at an end event? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc)
q054	Which model includes a task called 'Eingang bsetätigen'?
q055	Is the task 'Probe aulsiefern' always executable in this model? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc)
q056	What is the total count of sequence flows in this model? (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63)
q057	What are all the messages defined in this model? (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63)
q058	Who are the participants in this model? (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63)
q059	In which model is there a message named 'Transportatio nprovisioning'?
q060	Does this model include any exclusive gateways? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe)
q061	Which tasks in this model are associated with more than one message? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe)
q062	In which model can we find a task named 'InsuranceeRq==true'?
q063	What task is located between 'Estimate inusrance cost' and 'Send receipt' in this model? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe)
q064	Can every task in this model be executed during process operation? (Model ID: 3c08e52742754da6a4065fc5787131dc)
q065	What improvements would you recommend for this model? (Model ID: 3c08e52742754da6a4065fc5787131dc)
