q001	What is APS?
q002	What are the main packges in the model?
q003	What is the main purpose of the model?
q004	What are the main elemets of the APS achitecture?
q005	What are the main elements capturring the APS behavoir?
q006	What requirments are verified by the model?
q007	Which activites are included in verification of the Post Segement Exchange?
q008	In what cases is a new guide star aquired?
q009	What's the maximun misalignment of M1 when offloading senor offsets?
q010	Which document contains the top-level APS requirments imported from DORRS?
q011	Show the trace from "High singal exposures" to the analyses that verify it.
q012	List APS Interfce Requirements and their Acceptence State.
q013	Find any L3 APT requirments that currently lack a satisify or verify link.
q014	Where is the APS Black Box Specificaton located in the package heirarchy?
q015	Which packages are sub-packages of the APS Conceptaul Design?
q016	Navigate to "TMT-APS Use Cases" and enumarate the top-level use cases.
q017	List all signals in the PEAS-CommonServce package.
q018	In "Dynamic Power Analaysis", open the "05 Simulation Configuraitons" package and list participating configurations.
q019	What does "APS" stand for in this model and what is its mision role?
q020	Who are the primary stakholders for APS operations in the model?
q021	Summarize the role of "Executve Software" across Observtory and APS contexts.
q022	Explain how the "Roll-up Patern" libraries are used for Error Budgets.
q023	List the configuraton tables involved in wavfront calibration.
q024	Are there deprected elements under APS Conceptaul Design that should be archived?
q025	Which "holding_bin" areas still contain 2016/2017 artifacs?
q026	Detect APS requirments duplicated across "individual views" and "flow-down veiws".
q027	Find signals under "_TMT_RecyleBin::01 signals" that are still referenced by active diagrams.
q028	Check consistancy between the "Peak Power Limit Requirment" and analysis results across standby/online senarios.
q029	What are the main requirment categories defined for the APS?
q030	From which external documnets are the TMT requirments imported?
q031	What are the top-level work packges in the TMT Projet?
q032	Where is the APS model located in the packge hierarchy?
q033	What are the main componets of the APS Conceptaul Design?
q034	What stakholders are defined for the APS Mision?
q035	Are there any deprected packages in the APS model?
q036	What modeling suport patterns are used in the model?
q037	What timming requirements are formalized for the APS?
q038	Which requirment flow-down views are defined for the APS Black Box Specificaton?
q039	What sub-packages are contaned under the APS Conceptaul Design?
q040	What views are defined under the TMT-APS-SE veiw package?
q041	What is the role of the Procedre Executive and Analaysis Software in the APS?
q042	What external systmes interface with the APS at the telescpe level?
q043	Are there packages labled as obsolete or to be removed in the requirments hierarchy?
q044	What is the diference between the APS Black Box Specificaton at the JPL level and at the TMT level?
q045	Which parent requirments trace down to the APS Interfce Requirements?
q046	What is the relationship between the L2 APS Requirments Document and the APS Requirements Flowdown in the informaton flow?
q047	Where are the configuraton tables for the Wavfront Calibration Lookup Table located in the model?
q048	What is the path from the TMT Projet root to the Pupil Alignmnet Error Budget analysis?
q049	What error buget elements contribute to the Pupil Alignmnet Error Budget?
q050	How is the Maintenace Alignment duraton trade study structured in the model?
q051	Are the Peak Power Limit Requirment blocks consistant between the JPL and TMT specificaton levels?
q052	Which duraton analysis senarios lack a corresponding formalized timming requirement?
